Nome,Sobrenome,CPF
Gustavo,Pinto,90123490123
Marcos,Carvalho,71729402968
Paulo,Almeida,74390434560
Lucas,Moreira,12312312312
André,Vieira,78901278901
Renata,Andrade,01234501234
Fernanda,Souza,79681592026
Vanessa,Teixeira,67867867867
Luana,Freitas,45678945678
Carlos,Oliveira,64631603690
João,Santos,78139623709
Rafael,Lima,55579170040
Cláudia,Castro,23456723456
Renato,Dias,12345612345
Patrícia,Ribeiro,45645645645
Felipe,Ferreira,78978978978
Sabrina,Cardoso,67890167890
Gabriela,Santiago,01201201201
Beatriz,Pereira,59983141400
Sérgio,Nogueira,34567834567
Bianca,Melo,89012389012
Maria,Silva,70475820100
Bruno,Araujo,90190190190
Larissa,Moura,89089089089
Thiago,Coelho,56789056789
Rodrigo,Barbosa,56756756756
Camila,Rocha,81306749204
Ana,Costa,94290993702
Eduardo,Gomes,34534534534
Juliana,Martins,23423423423
